Company Name,Skills Set,Information Link,Description,Posted Time
APPLYCUPHIRINGSOLUTIONSLLP,"securitycompliance,html5,storage,telecommunication,security,database,git,debugging,python,mobile,svn,javascript,django",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-surat-3-to-8-yrs-jobid-QM5HuaB1AKJzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Qualification:B.Tech/B.E.-Electronics/Telecommunication,AnySpecialization,Computers,MCA-Computers,M.Tech-Computers,AnySpecialization,Electronics/Telecommunicationorequivalent.Experience:3-8YearsSkills:FamiliaritywithsomeORM(ObjectRelationalMapper)libraries,JavaScript,HTML5,CSS3,Strongunittestanddebuggingskills,Proficientunderstandingofcodeversioningtools,Git,MercurialorSVN,GoodCommunicationSkillsJobDescription:JOBDESCRIPTIONJobResponsibilities:Writingreusable,testable,andefficientcodeDesignandimplementationoflow-latency,high-availability,andperformantapplicationsIntegrationofuser-facingelementsdevelopedbyfront-enddeveloperswithserversidelogicImplementationofsecurityanddataprotectionIntegrationofdatastoragesolutions{{mayincludedatabases,key-valuestores,blobstores,etc.}}SkillsRequired:ExpertinPython,withknowledgeofatleastonePythonwebframework{{suchasDjango,Flask,etcdependingonyourtechnologystack}}FamiliaritywithsomeORM(ObjectRelationalMapper)librariesAbletointegratemultipledatasourcesanddatabasesintoonesystemUnderstandingofthethreadinglimitationsofPython,andmulti-processarchitectureGoodunderstandingofserver-sidetemplatinglanguages{{suchasJinja2,Mako,etcdependingonyourtechnologystack}}Basicunderstandingoffront-endtechnologies,suchasJavaScript,HTML5,andCSS3Understandingofaccessibilityandsecuritycompliance{{dependingonthespecificproject}}Knowledgeofuserauthenticationandauthorizationbetweenmultiplesystems,servers,andenvironmentsUnderstandingoffundamentaldesignprinciplesbehindascalableapplicationFamiliaritywithevent-drivenprogramminginPythonUnderstandingofthedifferencesbetweenmultipledeliveryplatforms,suchasmobilevsdesktop,andoptimizingoutputtomatchthespecificplatformAbletocreatedatabaseschemasthatrepresentandsupportbusinessprocessesStrongunittestanddebuggingskillsProficientunderstandingofcodeversioningtools{{suchasGit,MercurialorSVN}}.",Posted 2 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"python,html5,svn,storage,javascript,database,django,git,debugging,api",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-ahmedabad-2-to-6-yrs-jobid-4b6qmnfbuhJzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloperAhmedabad,GujaratBScinComputerScience,Engineeringorrelevantfield.Experience:2-6YearsSkills:(Django,Flask,Goodknowledgeofaserver-sidetemplatinglanguage.,Angular,ReactJs,VueJs,JavaScript,HTML5,CSS3,Python,Strongunittestanddebuggingskills,Git,MercurialorSVN.,Teamspirit,Goodproblem-solvingskillsJobDescription:Summary:Majorfocuswillbethedevelopmentofserver-sidelogictoensurehighperformanceandresponsivenesstorequestsreceivedfromfront-end.Deploymentontheproductionserver.Responsibilities:Understandingtheprojectrequirementandcodingtheprogramsefficientlytomeettheclientsrequirementstotheclosestproximity.Optimiseoutputtorunsmoothlyonmultipledeliveryplatforms.Designandimplementlow-latency,high-availability,andperformantapplications.Integrationofuserinterfaceelementsdevelopedbyfront-enddeveloperswithserver-sidelogic.Integrationofmultipledatasourcesanddatabasesintoonesystem.Integrationofdatastorageandthird-partylibrary/packageintotheapplication.Createorintegrateanysuchthingmanuallyifnotavailableonstandardpackagelist.Createthebestfittedandscalabledatabaseschemaforparticularbusinesslogic.Shouldbehands-oninreadinglargevolumesofdatafromthedatabase,oroverHTTP(S)/WebSockets.Ensureprogramsandapplicationsarebug-freeandrunsmoothly.SkillsAndQualifications:FamiliaritywithPythonwebstacksandIn-depthknowledgeofdifferentframeworks(Django,Flask,etc.)UnderstandingdifferenttypesofObjectRelationalMappers.AbilitytoworkonmultipleAPIintegrations,andwritemodularreusablecode.UnderstandingofthethreadinglimitationsofPython,andmulti-processarchitectureGoodknowledgeofaserver-sidetemplatinglanguage.Basicunderstandingoffront-endframeworkssuchasAngular,ReactJs,VueJsandtechnologiessuchasJavaScript,HTML5,andCSS3Knowledgeofuserauthenticationandauthorisationbetweenmultiplesystems,servers,andenvironmentsUnderstandingoffundamentaldesignprinciplesbehindascalableapplicationFamiliaritywithobjectevent-drivenprogramminginPythonStrongunittestanddebuggingskillsProficientunderstandingofcodeversioningtools,suchasGit,MercurialorSVN.CandidateProfile:.SalaryRange:Notdisclosed",Posted 2 days ago
SplendorNetTechnologiesPvt.Ltd.,"python,css,restapi,javascript,jquery,nosql,database,django,webdevelopment,html,angularjs",https://www.timesjobs.com/job-detail/python-django-splendornet-technologies-pvt-ltd-pune-1-to-4-yrs-jobid-g4YusCW__SLASH__K6dzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		1.WebdevelopmentexperiencewithDjangoandotherUIwebFrameworks.2.KnowledgewithDjangoRestAPI,registration,celeryorotherqueueingsystem3.ExperiencewithHTML,CSS,JavaScript,JQuery,JSLibrarieslikeAngularJs,ReactJswouldbe...1.WebdevelopmentexperiencewithDjangoandotherUIwebFrameworks.2.KnowledgewithDjangoRestAPI,registration,celeryorotherqueueingsystem3.ExperiencewithHTML,CSS,JavaScript,JQuery,JSLibrarieslikeAngularJs,ReactJswouldbeaddedadvantage4.Experiencebuildinghigh-performance,high-traffic,front-endapplications5.KnowledgeofNoSQLdatabaseisaddedadvantage",Posted 2 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"html5,ajax,database,xpath,git,postgresql,xml,json,perl,api,mongodb,python,cloudservices,javascript,ruby,nosql,django,couchdb,soap",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-delhi-delhi-ncr-2-to-6-yrs-jobid-s0Xx5KCbGqZzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Qualification:B.E/B.Tech/M.Tech/MCAExperience:2-6YearsSkills:Python,Perl,Bash,RubyJobDescription:DesiredCandidateprofile:ProvenexperienceworkingwithPython(usingDjangoand/orFlask)Knowledgeofscriptinglanguages(BASH/PERL/PYTHON/RUBY).Excellentknowledgeofbuildingserver-sideRESTfulwebapplications,APIsandautomationtoolsusingDjango,Celery,FloweretcFamiliaritywithGitandAtlassiansuite(Bitbucket,Jira,Confluence,Bamboo,Crucible)Experiencewithdatabasetechnologies,especiallyPostgreSQL/NoSQLdatabasesorotherdata-storesolutions(e.g.MongoDB,CouchDB)ExperienceinXML,JSON,CSVparsing:XPath,DOM,regex..etcExperienceinwebanalytics,generatingreportsontime-seriesdataAutomatedunittestframeworksandtestcoveragetoolsExperiencewithcloudservicessuchasAmazon,Google,orMicrosoft.ExposuretoworkingwithAPI's(preferableRESTful/SOAPAPI's)Roles&Responsibilities:ResponsibleformanagingtheinterchangeofdatabetweentheserverandtheusersYourprimaryfocuswillbethedevelopmentofallserver-sidelogic,ensuringhighperformanceandresponsivenesstorequestsfromthefront-endParticipateinsprintplanning,design,coding,unittesting,sprintreviews.Providebasicdesigndocumentsandtranslatesintocomponent-leveldesignstoacceleratedevelopment.Design,develop,anddistributereusabletechnicalcomponents.Assistindevelopingoftechnicaldocumentation;participateintest-plandevelopment,integrationanddeployment.Define&developprojectrequirements,functionalspecificationsanddetaileddesignsofapplicationsolutionsforclients.ApplyandintegratetechnologiessuchasPython,AJAX,WebServices,HTML5,CSS3,andJavaScripttoconceptualize,design,developandunittestweb-basedapplicationsWritingreusable,testable,andefficientcodeDesignandimplementationoflow-latency,high-availability,andperformanceapplicationsIntegrationofuser-facingelementsdevelopedbyfront-enddeveloperswithserversidelogic",Posted 2 days ago
NTTDataVertexSoftwareInc.,"docker,database,postgresql,seniorsoftwaredeveloper,softwareengineer,mysql,api,cli,python,github,softwaretesting,django,infrastructure,sqldatabase",https://www.timesjobs.com/job-detail/python-developer-ntt-data-vertex-software-inc-5-to-8-yrs-jobid-MSm4hS2n8aVzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Briefdescriptionofjobduties:WeseekaMidSoftwareEngineerwhowillmaintain,integrate,andimplementsoftwareapplicationswithintheorganization.Inthisrole,youwillconductsoftwareapplicationtesting,qualityassurance,configuration,installation,andsupporttoensuresmooth,stable,andtimelyimplementationofnewsoftwareandupdatestoinstalledapplications.PrincipalAccountabilities:Conduct,andguidesothers,intechnicalsoftwaretestinganddebugsystemsandsoftwareapplications,asneeded.Compileandprioritizeenhancementsanddefectresolutionstoapplications,implementingchanges.Performsadvancedandcomplexprogramming,coding,anddocumentationofsystemsandapplicationssoftware.Analyzebusinessrequirementsandpreparedetailedtechnicalspecificationstowriteapplicationsandprograms.Thekeycontributortothestrategyandtechnicalplanningofsystem/applicationtechnologyinaccordancewithinternalandexternalsoftwarecompliancestandards.Youwillworkunderminimalsupervisionandindependentlyhandlecomplexissueswhilereferringonlytothemostcomplexissuestohigher-levelstaff.Otherdutiesasassigned.MainQualifications:Atleast3-5yearExperienceworkingwithPython/DjangoandReAct/ReduxAtleast3-5yearexperienceworkingwithAWS.AdvancedEnglishlevel.Nicetohave/AdditionalQualifications:Atleast3-5yearsexperienceworkingwithrelationalandnonSQLdatabasetechnologies(PostgreSQL,MySQL,SAPHANA,MarkLogic)Atleast3-5yearsexperienceworkingwithRESTfulAPIarchitectureProficiencywithCLItoolsExperienceworkingwithGitHubAtleast5yearexperienceworkingwithMicroservicearchitectureExperienceinanagilesoftwaredevelopmentenvironmentknowledgeinDocker\Jenkins\Kubernetes,etc",Posted today
JobsLoConsultants,"applicationdevelopment,Python2,developingprograms",https://www.timesjobs.com/job-detail/python-developer-jobslo-consultants-bengaluru-bangalore-2-to-4-yrs-jobid-JKNeQWJqILRzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Position:PythonDeveloperLocation:BangaloreResponsibilities,ExperienceandSkills:Shouldhave12yearsexperienceinApplicationDevelopmentinPythonWorkwithmodule/teamleadindevelopingprogramsinPython2aswellasPython3ShouldbeimmediatelyavailableEducationalQualification:UG:B.Tech/B.E.AnySpecializationPG:AnyPostgraduateAnySpecializationMoreInformationINRMonthExperience2-4YearsQualificationGraduation",Posted few days ago
IDPEDUCATIONINDIAPVTLTD,"hybris,database,odata,postgresql,devops,api,python,mobile,teamplayer,infrastructure,gateway",https://www.timesjobs.com/job-detail/python-developer-idp-education-india-pvt-ltd-chennai-0-to-3-yrs-jobid-o46qgleMg__SLASH__JzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloperAboutIDPIDPisanASXlistedinternationaleducationorganisationofferingStudentPlacementservicesinAustralia,NewZealand,theUSA,UK,IrelandandCanada.IDPisheadquarteredinAustraliawithitsheadofficeat535BourkeStreet,Melbourne.JoiningIDPisanopportunitytoworkforamission-drivenEdu-Techorganisation,focusingonguidinginternationalstudentsalongtheirjourneytoachievelifelonglearningandtheircareeraspirationsusingourstate-of-artdigitalplatform.OurbusinessisgrowingeveryyearandourDigitalTransformationisenteringthenextphase-tousetheworldsbiggeststudentdatabasetofurtherbuildIDPsglobalplatformtocontinuouslyimproveourservicetoourcustomers.AbouttheRoleHandsonDevelopersroleOwnsthequalityanddeliveryofIntegrationatSpeedStrongDeveloper,abletodevelopinasquadtowardsCI/CD,DevOpsdeliveryExtensiveexperienceindevelopmentpatterns,approachesandtestingAhands-onDeveloperwhowillalignwithIDPsAWSDevelopmentSquad,adoptsandconformstobestpracticepatternsandpractices.ThesuccessfulcandidatewillplayacriticalroleindeliveringseveralprojectsutilizingthelatestAWSmicroservicesandfeatures.ThisroleisachancetogetinatthebeginningofanexcitingjourneyasIDPutilizesAWStoimprovetheagilityandeffectivenessofinformationstoredinitsEnterpriseSAPlandscape.Whilehavingtheknowledgeandabilitytoworkhandsonisimportant,tosuccessfullytransformtoDevOpsdeliverywiththeAWSenvironment.YourfirstprojectwillbeadeveloperofasetofAWSservicesextractingdatafromtheEnterpriseSAPlandscapeviaSAPWebhooksandSAPOdatacallsusingtheAWSmicroservices.Youwillworkinasmallsquadofselectedandmotivateddeveloperswhowillworkalongwithyou.TheTechnologyStackis:Mandatory:ExtensivePythondevelopmentskillsKnowledgeofAWSmicro-servicesLambda/SNS/SQSAPIGatewayDesirable:SAPCloud:HybrisCommerceandMarketing,C4C;Webhooks,ODATAServicesArchitecture:Microservices,EventDriven,Pub/SubModel,DataQueuesJiraDesirable:Terraform:InfrastructureasCode,deploymentframework,AWS_CDKSumoLogiclogaggregationSAFEAgileCurrentandupcomingAWSprojectsinclude:UpgradeofexistingEventdrivenPub/SubarchitecturetoenterprisegradeandportingofintegrationsUpgradeofexistingMobileApplicationmicroservicestoenterprisegradeCreationofreusablepatternsforDatabasedrivenapplicationdevelopmentusingAuroraPostgresqlDBLocation,Dates&RateLocation:ChennaiImmediateStartPermanentRoleRate:basedonexperienceandfit.AboutYouYouareastrongdeveloperinyourownrighttoproduceclean,testableandrepeatablecodeintheAWSCloud.Youaredisciplinedandstructuredinthewayyouwork,thedeliverablesyouproduceandthesupportyouprovidetothesquadaroundyou.YoubringanenergywithyouthatwillhelpthesquadachieveourvisionofIntegrationServicesatspeed.Youknowhowtoutilizepatterns,training,automationandotherapproachestocombinequalityandpace.Youhaveastrongbackgroundinkeydevelopmentarchitecturessuchasintegrations,applicationdevelopment,microservicescodebases,databasedesignanddatadrivenmobileapplicationsandyoucandemonstratewhatdisciplineddevelopmentatpacelookslike.Youcanbringwell-pacedproductivedrivewithadetailoriented,approachtobringvelocitytodevelopmentsquads.YouarecomfortableinaDeveloperroleandnaturallyshareyourskillsandtakejoyfromothersquadmembersbuildingtheirexpertisebasedontheexperienceyoubring.Yourelishtheopportunitiestolearnnewtechnologies.YouareOutcomesbased.ThisinitiativehasalotoffocusandsupportfromtheverytopofIDPandwillbefocusedondeliverytoanexcitingtimeline.Thebusinessandtechnicalleadershiponsitewithyouare100PERCENTcommittedtoensuringyoursuccessdecisionsanddirectionwillnotholdyouback.Yoursquadareskilledtechnologists,albeitwithgrowingAWSskills,andenthusiasticandwillworkwithyou.Youneedtobeanaturalteamplayerwhocanjointlyfocusensuringthesuccessofyourownworkalongwiththatofthesquad.KeyResponsibilitiesAspartoftheSquadDevelopment,maintainacheerfulandproductiveattitudeintheteam.Workalongwiththeteamtowardstechnicalexcellenceandleadbyexample.OwntheoutcomeofIntegrationatSpeed,andthequalityofeverytechnicaldeliverablethatcomesfromtheteam.GuidesquadtowardsCI/CD,TDD,DevOpsdeliveryapproachesCreatepatternsthatepitomisecleancodeperformant,secure,costeffective,maintainableforusebytheteam.Continuouslyimprovethequalityandproductivityoftheteamthroughpeercodereviews,retrospectivesandotherceremoniesDeliverandcontinuallybuildonthestandardsofthesquadProactivelykeepuptodateonAWSserviceandfeaturedevelopmentsandsponsorimprovementswithvaluetoIDPEnsureeveryAWSobjectcreatedistaggedforcostmanagementpurposes.RequirementsBiasforAction,CustomerObsession,Quality,SpeedExcellentexperienceinthetechnicaldeliveryinahighperformingsquadAbletoclearlyarticulateandadoptonthestandardsandguidancenecessaryforanewsquadtoprovideenterprisegradedevelopmentservicesExperienceindeliveringenterprisegradeevent-drivenintegrationarchitecturesExperienceindevelopingenterpriseapplicationsAuroraoranotherenterprisedatabaseAstrongdeveloperinyourownright,inPythonAWSCertifiedDeveloper,DevOpsEngineerdesirableExperiencewithSAPintegrationisdesirable,butnotamandatoryrequirement",Posted 3 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"algorithms,python,css,javascript,jquery,webprogramming,django,zope,oops,webdevelopment,html,datastructures",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-noida-greater-noida-1-to-3-yrs-jobid-4zHtSXKaY85zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Qualification:B.E/B.Tech/M.Tech/MCAExperience:1-3YearsSkills:PythonDeveloper,Django,web.pyJobDescription:Requirement:DeepwebdevelopmentexperienceusingPythonShouldhaveexperienceonframeworkslikeDjango,Fluxzope,web.py,etcExposureofJavaScript,JQuery,HTMLandCSSDeepwebprogramminganddatamodelingexperienceStrongOOPsconceptsExperienceindatastructures&algorithms",Posted 3 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"securitycompliance,python,html5,mobile,storage,javascript,security,database,webdeveloper,debugging",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-bengaluru-bangalore-4-to-6-yrs-jobid-RkKERmJqyvpzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Qualification:BE,Btech,BSCComputer/IT,MSC,MCA,anygraduate,Experience:4-6YearsSkills:JavaScript,HTML5,andCSS3JobDescription:JobDescription:-PythonDeveloperWearelookingforaPythonWebDeveloperresponsibleformanagingtheinterchangeofdatabetweentheserverandtheusers.Yourprimaryfocuswillbethedevelopmentofallserver-sidelogic,ensuringhighperformanceandresponsivenesstorequestsfromthefront-end.Youwillalsoberesponsibleforintegratingthefront-endelementsbuiltbyyourco-workersintotheapplication;therefore,abasicunderstandingoffront-endtechnologiesisnecessaryaswell.CandidateProfile:ResponsibilitiesWritingreusable,testable,andefficientcodeDesignandimplementationoflow-latency,high-availability,andperformantapplicationsIntegrationofuser-facingelementsdevelopedbyfront-enddeveloperswithserversidelogicImplementationofsecurityanddataprotectionIntegrationofdatastoragesolutionsSkillsAndQualificationsExpertinPython,withknowledgeofatleastonePythonwebframeworkFamiliaritywithsomeORM(ObjectRelationalMapper)librariesAbletointegratemultipledatasourcesanddatabasesintoonesystemUnderstandingofthethreadinglimitationsofPython,andmulti-processarchitectureGoodunderstandingofserver-sidetemplatinglanguagesBasicunderstandingoffront-endtechnologies,suchasJavaScript,HTML5,andCSS3UnderstandingofaccessibilityandsecuritycomplianceKnowledgeofuserauthenticationandauthorizationbetweenmultiplesystems,servers,andenvironmentsUnderstandingoffundamentaldesignprinciplesbehindascalableapplicationFamiliaritywithevent-drivenprogramminginPythonUnderstandingofthedifferencesbetweenmultipledeliveryplatforms,suchasmobilevsdesktop,andoptimizingoutputtomatchthespecificplatformAbletocreatedatabaseschemasthatrepresentandsupportbusinessprocessesStrongunittestanddebuggingskillsProficientunderstandingofcodeversioningtoolsSalaryRange:Notdisclosed",Posted 3 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"rest,python,cloudservices,django,xml,brio,json,webdevelopment,mysql,soap",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-hyderabad-secunderabad-2-to-5-yrs-jobid-HeR1LLtKnkdzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Qualification:AnyGraduatewithRelevantExperienceExperience:2-5YearsSkills:python,Teamwork,Coordination,webdevelopmentexperience.,softwaresolutionsJobDescription:JobType:Full-timeJobLocation:Hyderabad,AndhraPradeshRequiredexperience:Python&Django2yearsismustWearesimplifyinglives,addingvalueandcreatinghappinessforourcustomerswithtechnology.Wetransformbusinesseswithourcloudservices.Wehavedoneitformorethan1000businesses.Wearelookingforpeoplewhocancodetocracksometoughproblems.Hereswhatyoullbring:DevelopmentexperiencewithPhyton,Django&MySqlHavehelpeddevelopcustom-builtobject-orientedapplicationsforayear.GreatOOskills,includingstrongdesignpatternsknowledgeStrongwebdevelopmentexperience.KnowledgeofWebServicesrequiredlike:JSON,SOAP,RESTandXMLbasedwebservices.AsaDeveloper,hereswhatyoucandoatBrio:BuildbespokesoftwaresolutionsLearnsomethingneweveryday.Workwiththelatesttechnology.Thinkthroughhardproblems,andworkwithateamtomakethemreality.Workinadynamic,collaborative,transparent,non-hierarchal,andego-freeculturewhereyourtalentisvaluedoveraroletitleDevelopyourcareeroutsideoftheconfinementsofatraditionalcareerpathbyfocusingonwhatyourepassionateaboutratherthanapredeterminedone-size-fits-allplanEnjoygreatsnackseveryeveningSavordeliciousBiryanionceamonthwiththeteam(BiryaniThursday)CandidateProfile:SalaryRange:Notdisclosed",Posted 3 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"python,Django,ObjectRelationalMapper",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-surat-3-to-5-yrs-jobid-uj9JLhqjw6dzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Qualification:B.Tech/B.E.-AnySpecialization,M.Tech-AnySpecialization,MCA-ComputersExperience:3-5YearsSkills:-ExpertinPython,withknowledgeofatleastonePythonwebframeworksuchasDjango,Flasketc.-FamiliaritywithsomeORM(ObjectRelationalMapper)libraries,PythonDeveloperJobDescription:JobTitle:PythonDeveloperLocation:SuratExperiencerequired:3to5YearsTechnology:-ExpertinPython,withknowledgeofatleastonePythonwebframeworksuchasDjango,Flasketc.-FamiliaritywithsomeORM(ObjectRelationalMapper)libraries.CandidateProfile:.SalaryRange:Notdisclosed",Posted few days ago
RouteMobileLimited,"python,django,postgresql,mysql,docker",https://www.timesjobs.com/job-detail/python-developer-route-mobile-limited-mumbai-2-to-5-yrs-jobid-mEHU__SLASH__0ZA__SLASH__uhzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobRolePythonDeveloperExperience:Minimum2yearsJobDescription:GoodExperienceandknowledgeinPythonGoodExperienceinFlask/Django(experiencewithdevelopingRestfulAPIs),GoodKnowledgeonPostgreSQL/MySQL,ORM)AddedAdvantage(RabbitMQCelery,Redis,Marshmallow,Docker)",Posted few days ago
TalentCornerHrServicesPrivateLimited,"python,devops,splunk,softwaredeveloper,docker",https://www.timesjobs.com/job-detail/python-developer-talent-corner-hr-services-private-limited-noida-greater-noida-5-to-7-yrs-jobid-FzvnjHeklJJzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		RolesandResponsibilitiesLookingforPythonbackenddeveloperforanITfirminNoidaCTC:upto12LpaBuildscalablebackendsystems,services&APIsDesiredCandidateProfile2.5-7yrsexperienceinPythonFamiliarwithAWS/otherclouddevservicesExperienceinDevOpstools(Splunk,Chef,Docker,etc.)andCI/CDpipelinesKeySkillspythondevopschefsplunkawsdockerEducation-",Posted few days ago
47BillionInformationTechnologiesPvtLtd,"python,security,django,html5,javascript,docker",https://www.timesjobs.com/job-detail/python-developer-47billion-information-technologies-pvt-ltd-indore-0-to-3-yrs-jobid-__PLUS__EwGpWvevuZzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloperIndore,IndiaJobCode:47-IND-PY-J01ResponsibilitiesWriteeffective,scalablecodeDevelopback-endcomponentstoimproveresponsivenessandoverallperformanceIntegrateuser-facingelementsintoapplicationsTestanddebugprogramsImprovefunctionalityofexistingsystemsImplementsecurityanddataprotectionsolutionsIntegrationofuser-facingelementsdevelopedbyfront-enddeveloperswithserversidelogicImplementationofsecurityanddataprotectionRequirementsWorkexperienceasaPythonDeveloperExpertiseinatleastonepopularPythonframework(likeDjango,FlaskorPyramid)Knowledgeofobject-relationalmapping(ORM)Familiaritywithfront-endtechnologies(likeJavaScriptandHTML5)AdvantageousifknowanycontainerisedtechnologylikeDockerorKubernetesExcellentcommunicationisrequired",Posted few days ago
BlocklogyEdutechPrivatelimited,"python,c,c,naturallanguageprocessing,scala,datamining,machinelearning,artificialintelligence,patternrecognition",https://www.timesjobs.com/job-detail/python-trainer-blocklogy-edutech-private-limited-navi-mumbai-1-to-3-yrs-jobid-aohXepAGrldzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		RequirementsExperience:1to3YearsEducation:B.E./B.Tech/anyGraduatewithexperienceispreferablebutfresherswithgoodacademicrecordcanalsoapplySkills:ShouldhavedepthknowledgeofPython,DataAnalytics,MachineLearning,DeepLearning,RandNLPTextetc.Candidateshouldhaveminimum1yrexperienceinTrainingCandidateshouldhaveGoodCommunicationSkillsShouldbeabletohandleEndtoEndTraining-CourseContentPreparation,MaterialPreparation,InterviewQuestions,MockInterviews,LiveProjectsExplanationetc.ShouldhaveexperienceingivingtrainingthroughonlinePlatformi.eSkype,Webinars,GoToMeetingetc.Strongbackgroundinoneormoreof:DeepLearning,MachineLearning,NaturalLanguageProcessing,RecommendationSystems,PatternRecognition,LargeScaleDataMiningorArtificialIntelligenceStrongexperienceusingoneofthefollowingopen-sourceframeworks:TensorFlow,MXNet,Theano,Keras,JupyterandCaffeStronghands-oncodingexpertisewithC/C,Python,Scala,Lua,MATLAB,oranyproficientAIlanguageofchoiceAmathematical,statistical,andprobabilityinclinationanddeepunderstandingofAIconceptsAssistingITProfessionalsonPython&AI&MLqueriesResponsiblefortrainingonPython&AI&MLFreshers&Internscanalsoapply",Posted 5 days ago
InfosysTechnologiesLtd,"informationtechnology,unixshellscripting,bigdata,globaldelivery,python,javascript,bi,datawarehousing,sql,perl,writtencommunication,unixshell",https://www.timesjobs.com/job-detail/python-developer-infosys-technologies-ltd-4-to-7-yrs-jobid-tLqZGfCSK__PLUS__9zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		InfosysisseekingaPythonDeveloperwithbackgroundindatawarehousing.ThepositionwillprimarilyberesponsibleinterfacewithkeystakeholdersandapplyyourtechnicalproficiencyacrossdifferentstagesoftheSoftwareDevelopmentLifeCycleincludingRequirementsElicitation,ApplicationArchitecturedefinitionandDesign.Youwillplayanimportantroleincreatingthehigh-leveldesignartifacts.Youwillalsodeliverhighqualitycodedeliverablesforamodule,leadvalidationforalltypesoftestingandsupportactivitiesrelatedtoimplementation,transitionandwarranty.Youwillbepartofalearningculture,whereteamworkandcollaborationareencouraged,excellenceisrewarded,anddiversityisrespectedandvalued.RequiredQualifications:CandidatemustbelocatedwithincommutingdistanceofJerseyCity,NJorbewillingtorelocatetothearea.ThispositionmayrequiretravelintheUSandCanada.BachelorsDegreeorforeignequivalent,willconsiderworkexperienceinlieuofadegree4yearsofexperiencewithInformationTechnology2yearsofhandsonexperienceinPython1yearsinend-to-endimplementationofDWBIprojects,especiallyindatawarehouseandmartdevelopments.MusthavegoodunderstandingofDWconceptsStrongknowledgeandhands-onexperienceinSQL,UnixshellscriptingGoodexperienceinKnowledgeandexperiencewithfullSDLClifecycleExperiencewithLean/AgiledevelopmentmethodologiesU.S.CitizenshiporPermanentResidencyrequired,wearenotabletosponsoratthistimePreferredQualifications:2yearsofexperienceinHealthcareDomainprimarilyonclaimsprocessingandeligibilityAtleast1yearofexperienceinRelationalModeling,DimensionalModelingandModelingofUnstructuredDataExposuretoGCPorSnowflakewouldbeaplusGoodexperienceinend-to-endimplementationofDWBIprojects,especiallyindatawarehouseandmartdevelopmentsGoodunderstandingofDataintegration,DataQualityanddataarchitectureGoodexpertiseinimpactanalysisduetochangesorissuesExperienceinpreparingtestscriptsandtestcasestovalidatedataandmaintainingdataqualityStrongunderstandingandhands-onprogramming/scriptingexperienceskillsUNIXshell,Perl,andJavaScriptExperiencewithdesignandimplementationofETL/ELTframeworkforcomplexwarehouses/marts.KnowledgeoflargedatasetsandexperiencewithperformancetuningandtroubleshootingHands-ondevelopment,withawillingnesstotroubleshootandsolvecomplexproblemsCI/CDexposureAbilitytoworkinteamindiverse/multiplestakeholderenvironmentAbilitytocommunicatecomplextechnologysolutionstodiverseteamsnamely,technical,businessandmanagementteamsExperiencemanagingteamsizeof2-3wouldbeaplusExcellentverbalandwrittencommunicationskillsExperienceanddesiretoworkinaGlobaldeliveryenvironment",Posted few days ago
